Startup Name,Link,Country,Category,Social Links,Pitch
Axmed,https://websummit.com/appearances/lis24/38c2c676-693b-4de2-9ee4-59fafbed4377/axmed,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/axmedag', 'crunchbase': 'https://www.crunchbase.com/organization/axmed', 'com/axmed_ag': 'https://instagram.com/axmed_ag', 'com': 'https://axmed.com'}",Axmed is a health-tech company revolutionizing access to medicines in LMICs by leveraging technology to better connect buyers and sellers
Blocksport,https://websummit.com/appearances/lis24/6ab27eb2-187b-4acf-9e30-58ea6f75d4b7/blocksport,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/12646978', 'crunchbase': 'https://www.crunchbase.com/organization/blocksport', 'com/blocksportdotio': 'https://twitter.com/blocksportdotio', 'io': 'https://blocksport.io'}",We build the most engaging community hubs in the world through adoption of web3 and blockchain technologies.
Brame,https://websummit.com/appearances/lis24/a335825f-6f93-4dfb-b911-27b09c2f9136/brame,Switzerland,"Advertising, content & marketing","{'linkedin': 'https://www.linkedin.com/company/brame', 'brame': 'https://www.brame.io'}",Brame is a SaaS company that offers the leading drag-and-drop Gamification Marketing Builder.
DNXT,https://websummit.com/appearances/lis24/08abdac5-5227-4c83-94a2-82b43d17f49b/dnxt,Switzerland,Fintech & financial services,"{'com/DiamondNxt1': 'https://x.com/DiamondNxt1', 'com': 'https://diamondnxt.com'}",The most secure RWA investment platform that natively integrates into financial institutions to enable them to offer investment diamonds
evismo AG,https://websummit.com/appearances/lis24/a0c9f0d4-dc91-41eb-8fae-724cdde5513f/evismo-ag,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/evismo', 'evismo': 'https://www.evismo.com'}","evismo offers Diagnostics as a Service for healthcare professionals delivering better access, better data and better outcomes."
Mycrobez AG,https://websummit.com/appearances/lis24/45629bd6-f22f-4f92-a69f-055dbfd7d9fd/mycrobez-ag,Switzerland,Sustainability & cleantech,"{'ch': 'https://www.ch.linkedin.com/company/mycrobez', 'ch/': 'https://mycrobez.ch/'}","Scalable and climate-positive: Mycrobez merges bio-waste and mycelium into industrial natural foam, revolutionizing packaging and insulation"
Toco,https://websummit.com/appearances/lis24/5faf5c84-479c-4394-862f-6d7b1a1c9a19/toco,Switzerland,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/carbon-is-money', 'com/carbonismoney': 'https://twitter.com/carbonismoney', 'tocos': 'https://www.tocos.org/'}","Toco is a currency backed by carbon, turning everyday transactions into climate action. It is better money for a better world."
Galventa AG,https://websummit.com/appearances/lis24/8f121e4b-c050-4e95-b86c-d702ecd8875d/galventa-ag,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/galventa', 'com/bsync': 'https://instagram.com/bsync.life', 'facebook': 'https://www.facebook.com/bsync.original', 'galventa': 'https://www.galventa.com/'}","We aim to help you sync your circadian rhythm for better sleep and wake-up with innovative, clinically tested galenic platform technologies."
Get More Brain,https://websummit.com/appearances/lis24/5d8b9aa0-df1f-49d0-8028-b2421255678d/get-more-brain,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/getmorebrain', 'getmorebrain': 'https://about.getmorebrain.com/'}",Streaming books 🍿. Providing publishers with a digital future. Performance support on the job.
Pyango GmbH,https://websummit.com/appearances/lis24/ac0fb9c3-70ec-4f16-8776-c5a754749f1f/pyango-gmbh,Switzerland,SaaS,"{'linkedin': 'https://www.linkedin.com/company/pyango-gmbh', 'com/pyango': 'https://instagram.com/pyango.ch', 'ch': 'https://pyango.ch'}","While you focus on networking, marketing and fundraising, we‘ll be your tech and product design partner."
