Startup Name,Link,Country,Category,Social Links,Pitch
1Fit,https://websummit.com/appearances/lis24/8fbff622-5ef6-4bc3-9f9b-7d22eeb2f520/1fit,Kazakhstan,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/1fit', 'com/1fit': 'https://instagram.com/1fit.app', 'facebook': 'https://www.facebook.com/1fitapp', 'app': 'https://1fit.app'}","1Fit is your last fitness app — gyms, personal trainers, and tailored recommendations based on users' data. Fastest-growing startup in CIS."
4.events,https://websummit.com/appearances/lis24/c42ad2f2-3c33-4b3d-ae5f-367b12cf8d12/4.events,Portugal,"Advertising, content & marketing","{'linkedin': 'https://www.linkedin.com/showcase/4-events-portugal', 'crunchbase': 'https://www.crunchbase.com/organization/4-events', 'com/4': 'https://instagram.com/4.events.portugal', 'com/4eventsportugal': 'https://x.com/4eventsportugal', 'facebook': 'https://www.facebook.com/4.events.portugal', '4': 'https://www.4.events/pt/'}",All-in-One Event Management Platform and App
506.ai,https://websummit.com/appearances/lis24/b1c4464c-a7eb-4d4b-82c0-3dc488030400/506.ai,Austria,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/506-ai/mycompany', 'crunchbase': 'https://www.crunchbase.com/organization/506', 'com/506ai_': 'https://x.com/506ai_', 'facebook': 'https://www.facebook.com/506ai', '506': 'https://www.506.ai'}",Elevate communication and compliance with the seamlessly integrated Smart AI Assistant CompanyGPT
Adrich,https://websummit.com/appearances/lis24/cdcef930-ebed-43b3-a0b1-6e063cc53736/adrich,United States,AI & machine learning,"{'linkedin': 'https://www.linkedin.com/company/11008649/admin/dashboard', 'com/adrichtech': 'https://x.com/adrichtech', 'adrich': 'https://www.adrich.io/'}","Adrich transforms products into smart, self-replenishing essentials with real-time usage insights, enhancing consumer experience & sustainab"
aikido security,https://websummit.com/appearances/lis24/8716ea52-b025-4cee-bd63-f4f22266fcc8/aikido-security,Belgium,Security,"{'co/company/aikido-security': 'https://angel.co/company/aikido-security', 'linkedin': 'https://www.linkedin.com/company/aikido-security', 'crunchbase': 'https://www.crunchbase.com/organization/aikido-security', 'com/aikidosecurity': 'https://twitter.com/aikidosecurity', 'aikido': 'https://www.aikido.dev'}",no bullsh*t security for devs.
Aktivo Labs,https://websummit.com/appearances/lis24/a48e6418-6dc5-45e7-a002-50e256cd99ee/aktivo-labs,Singapore,Healthtech & wellness,"{'co/aktivolabs': 'https://angel.co/aktivolabs', 'linkedin': 'https://www.linkedin.com/company/aktivo-labs', 'crunchbase': 'https://www.crunchbase.com/organization/aktivolabs', 'com/aktivolabs': 'https://twitter.com/aktivolabs', 'facebook': 'https://www.facebook.com/aktivolabs', 'aktivolabs': 'https://www.aktivolabs.com'}","We empower enterprises and governments to prevent chronic diseases at scale with Aktivo's comprehensive, real-time digital health platform."
Apillon,https://websummit.com/appearances/lis24/0e0084fb-904d-4a7c-95a1-b2ab00aaf768/apillon,Slovenia,SaaS,"{'linkedin': 'https://www.linkedin.com/company/apillon', 'crunchbase': 'https://www.crunchbase.com/organization/Apillon', 'com/Apillon': 'https://twitter.com/Apillon', 'io/': 'https://apillon.io/'}","Blockchain Simplified, Innovation Amplified. Our SaaS uses Web2 logic to deliver Web3 results with simple SDKs for JS, TS, Flutter & more."
Aufinity Group,https://websummit.com/appearances/lis24/8e585080-1556-4403-9bff-c049bf484647/aufinity-group,Germany,SaaS,"{'linkedin': 'https://www.linkedin.com/company/aufinitygroup', 'com/bezahl': 'https://instagram.com/bezahl.de', 'facebook': 'https://www.facebook.com/bezahl.de', 'aufinity': 'https://www.aufinity.com'}",A FinTech with the mission to redefine payment management in the European automotive industry with its products bezahl.de and Aufinity.
Auquan,https://websummit.com/appearances/lis24/ef279bfe-99e2-4458-8a24-845a92be1beb/auquan,United Kingdom,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/auquan', 'crunchbase': 'https://www.crunchbase.com/organization/auquan', 'com/auquan_': 'https://x.com/auquan_', 'auquan': 'https://www.auquan.com/'}",AI for deep work in finance. Liberating professionals to focus on strategic insights and making better decisions faster.
Axmed,https://websummit.com/appearances/lis24/38c2c676-693b-4de2-9ee4-59fafbed4377/axmed,Switzerland,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/axmedag', 'crunchbase': 'https://www.crunchbase.com/organization/axmed', 'com/axmed_ag': 'https://instagram.com/axmed_ag', 'com': 'https://axmed.com'}",Axmed is a health-tech company revolutionizing access to medicines in LMICs by leveraging technology to better connect buyers and sellers
BabyQuip,https://websummit.com/appearances/lis24/0db4c429-dd49-4547-b4e2-6bf15b43efc7/babyquip,United States,Travel & hospitality,"{'com/company/babyquip': 'https://wellfound.com/company/babyquip', 'linkedin': 'https://www.linkedin.com/company/babyquip', 'crunchbase': 'https://www.crunchbase.com/organization/babyquip', 'com/babyquip': 'https://instagram.com/babyquip', 'com/BabyQuipCorp': 'https://x.com/BabyQuipCorp', 'facebook': 'https://www.facebook.com/BabyQuip', 'babyquip': 'https://www.babyquip.com/'}","We are a global marketplace providing clean, safe, and insured baby gear rentals and more to families on the go. Pack Light. Travel Happy.®"
Bee Delivery,https://websummit.com/appearances/lis24/ac8e7496-8244-4499-8348-fe886118fbdc/bee-delivery,Brazil,"Mobility, transportation & logistics","{'linkedin': 'https://www.linkedin.com/company/11767173', 'com/beedeliverybr': 'https://instagram.com/beedeliverybr', 'com/www': 'https://x.com/www.beedelivery.com.br', 'facebook': 'https://www.facebook.com/beedeliverybr'}",Since 2018 connecting companies to delivery drivers in all sector. With over 33 million deliveries and operating in 150 cities
Biorce,https://websummit.com/appearances/lis24/2c0bf3d3-5e11-477e-87b9-4667fdda82b9/biorce,Spain,Healthtech & wellness,"{'linkedin': 'https://www.linkedin.com/company/biorce', 'com/wearebiorce': 'https://instagram.com/wearebiorce', 'com': 'http://biorce.com'}",Biorce is a leading AI company in clinical trials. With a multi-modality approach Biorce aims to accelerate clinical trials by more than 50%
Blocksport,https://websummit.com/appearances/lis24/6ab27eb2-187b-4acf-9e30-58ea6f75d4b7/blocksport,Switzerland,Web3,"{'linkedin': 'https://www.linkedin.com/company/12646978', 'crunchbase': 'https://www.crunchbase.com/organization/blocksport', 'com/blocksportdotio': 'https://twitter.com/blocksportdotio', 'io': 'https://blocksport.io'}",We build the most engaging community hubs in the world through adoption of web3 and blockchain technologies.
Brame,https://websummit.com/appearances/lis24/a335825f-6f93-4dfb-b911-27b09c2f9136/brame,Switzerland,"Advertising, content & marketing","{'linkedin': 'https://www.linkedin.com/company/brame', 'brame': 'https://www.brame.io'}",Brame is a SaaS company that offers the leading drag-and-drop Gamification Marketing Builder.
bTd Travel & Jets,https://websummit.com/appearances/lis24/08ff8be5-821f-467d-a731-acde85e26234/btd-travel-%26-jets,United States,Travel & hospitality,"{'linkedin': 'https://www.linkedin.com/company/btdweb/about/?viewAsMember=true', 'com/btdtravels': 'https://instagram.com/btdtravels', 'com/BtdDeals': 'https://twitter.com/BtdDeals', 'facebook': 'https://www.facebook.com/watch/btdweb', 'btdtravels': 'https://www.btdtravels.com'}","Seamless travel in ONE APP: Book private jets, empty legs, get discounts to reserve flights, hotels, yachts, cars & enjoy Concierge Services"
CampusAI,https://websummit.com/appearances/lis24/c70fe7c2-5a74-4a16-8f92-4781f5d5aa34/campusai-,Poland,AI & machine learning,"{'pl': 'https://www.pl.linkedin.com/school/campusaipl', 'crunchbase': 'https://www.crunchbase.com/organization/campusai', 'com/campusaipl': 'https://x.com/campusaipl', 'facebook': 'https://www.facebook.com/campusaipl', 'campus': 'https://www.campus.ai'}","Helping people become AI native and organizations AI ready by providing a world-first, metaverse-based, AI-blended learning environment."
Capture,https://websummit.com/appearances/lis24/fce1be4f-084e-4e0e-9cdd-e1229fcf75be/capture,Germany,SaaS,"{'linkedin': 'https://www.linkedin.com/company/capture-tool', 'com/use_capture': 'https://twitter.com/use_capture', 'io': 'https://usecapture.io'}",Dashcam for your browser to squash those pesky bugs 🐞 in no time
Capy,https://websummit.com/appearances/lis24/e33e0266-ef76-452c-b24f-bb4efa7b3757/capy,Germany,Fintech & financial services,"{'linkedin': 'https://www.linkedin.com/company/capygroup', 'com/': 'https://capygroup.com/'}",Capy provides affiliate publishers with financial solutions and helps financial institutions tap into the vast client base of the marketing.
